"ACDT","Demand","Time","DSTTime","Year","Temp"
2020-03-13 07:00:00,1566,0.25,0.291666666666667,0.0215753424657534,19.9
2020-03-13 07:30:00,1651,0.270833333333333,0.3125,0.0216324200913242,20.1
2020-03-13 08:00:00,1694,0.291666666666667,0.333333333333333,0.021689497716895,20.15
2020-03-13 08:30:00,1652,0.3125,0.354166666666667,0.0217465753424658,20.2
2020-03-13 09:00:00,1638,0.333333333333333,0.375,0.0218036529680365,20.6
2020-03-13 09:30:00,1628,0.354166666666667,0.395833333333333,0.0218607305936073,21
2020-03-13 10:00:00,1585,0.375,0.416666666666667,0.0219178082191781,20.9
2020-03-13 10:30:00,1528,0.395833333333333,0.4375,0.0219748858447489,20.8
2020-03-13 11:00:00,1515,0.416666666666667,0.458333333333333,0.0220319634703196,20.5
2020-03-13 11:30:00,1475,0.4375,0.479166666666667,0.0220890410958904,20.2
2020-03-13 12:00:00,1376,0.458333333333333,0.5,0.0221461187214612,20
2020-03-13 12:30:00,1383,0.479166666666667,0.520833333333333,0.022203196347032,19.8
2020-03-13 13:00:00,1403,0.5,0.541666666666667,0.0222602739726027,20.5
2020-03-13 13:30:00,1375,0.520833333333333,0.5625,0.0223173515981735,21.2
2020-03-13 14:00:00,1319,0.541666666666667,0.583333333333333,0.0223744292237443,21.4
2020-03-13 14:30:00,1258,0.5625,0.604166666666667,0.0224315068493151,21.6
2020-03-13 15:00:00,1142,0.583333333333333,0.625,0.0224885844748858,20.8
2020-03-13 15:30:00,1090,0.604166666666667,0.645833333333333,0.0225456621004566,20
2020-03-13 16:00:00,1113,0.625,0.666666666666667,0.0226027397260274,18.9
2020-03-13 16:30:00,1157,0.645833333333333,0.6875,0.0226598173515982,17.8
2020-03-13 17:00:00,1211,0.666666666666667,0.708333333333333,0.022716894977169,17.6
2020-03-13 17:30:00,1261,0.6875,0.729166666666667,0.0227739726027397,17.4
2020-03-13 18:00:00,1320,0.708333333333333,0.75,0.0228310502283105,16.8
2020-03-13 18:30:00,1382,0.729166666666667,0.770833333333333,0.0228881278538813,16.2
2020-03-13 19:00:00,1447,0.75,0.791666666666667,0.0229452054794521,15.7
2020-03-13 19:30:00,1478,0.770833333333333,0.8125,0.0230022831050228,15.2
2020-03-13 20:00:00,1497,0.791666666666667,0.833333333333333,0.0230593607305936,15.05
2020-03-13 20:30:00,1515,0.8125,0.854166666666667,0.0231164383561644,14.9
2020-03-13 21:00:00,1499,0.833333333333333,0.875,0.0231735159817352,14.95
2020-03-13 21:30:00,1456,0.854166666666667,0.895833333333333,0.0232305936073059,15
2020-03-13 22:00:00,1439,0.875,0.916666666666667,0.0232876712328767,14.65
2020-03-13 22:30:00,1412,0.895833333333333,0.9375,0.0233447488584475,14.3
2020-03-13 23:00:00,1362,0.916666666666667,0.958333333333333,0.0234018264840183,14.2
2020-03-13 23:30:00,1337,0.9375,0.979166666666667,0.023458904109589,14.1
2020-03-16,1255,0.958333333333333,1,0.0289954337899543,14.6
2020-03-16 00:30:00,1420,0.979166666666667,1.02083333333333,0.0290525114155251,14.7
2020-03-16 01:00:00,1415,0,0.0416666666666667,0.0291095890410959,15.65
2020-03-16 01:30:00,1374,0.0208333333333333,0.0625,0.0291666666666667,16.6
2020-03-16 02:00:00,1306,0.0416666666666667,0.0833333333333333,0.0292237442922374,16.5
2020-03-16 02:30:00,1267,0.0625,0.104166666666667,0.0292808219178082,16.4
2020-03-16 03:00:00,1225,0.0833333333333333,0.125,0.029337899543379,15.2
2020-03-16 03:30:00,1218,0.104166666666667,0.145833333333333,0.0293949771689498,14
2020-03-16 04:00:00,1204,0.125,0.166666666666667,0.0294520547945205,14.55
2020-03-16 04:30:00,1199,0.145833333333333,0.1875,0.0295091324200913,15.1
2020-03-16 05:00:00,1205,0.166666666666667,0.208333333333333,0.0295662100456621,15.15
2020-03-16 05:30:00,1226,0.1875,0.229166666666667,0.0296232876712329,15.2
