"net_load","tempc","Time","DST","year","WtdTemp"
1370,16.5,0.479166666666667,0.4375,0.20953196347032,17.8487436867076
1225,16.4,0.5,0.458333333333333,0.20958904109589,17.84
1170,17.35,0.520833333333333,0.479166666666667,0.209646118721461,18.41
1229,18.3,0.541666666666667,0.5,0.209703196347032,18.98
1153,17.7,0.5625,0.520833333333333,0.209760273972603,18.62
1086,17.1,0.583333333333333,0.541666666666667,0.209817351598174,18.26
1053,17.05,0.604166666666667,0.5625,0.209874429223744,18.23
1066,17,0.625,0.583333333333333,0.209931506849315,18.2
1080,16.7,0.645833333333333,0.604166666666667,0.209988584474886,18.02
1058,16.4,0.666666666666667,0.625,0.210045662100457,17.84
1124,15.3,0.6875,0.645833333333333,0.210102739726027,17.18
1224,14.2,0.708333333333333,0.666666666666667,0.210159817351598,16.52
1382,13.75,0.729166666666667,0.6875,0.210216894977169,16.25
1556,13.3,0.75,0.708333333333333,0.21027397260274,15.58752308679
1699,12.7,0.770833333333333,0.729166666666667,0.210331050228311,14.16
1772,12.1,0.791666666666667,0.75,0.210388127853881,12.5627712857253
1769,11.3,0.8125,0.770833333333333,0.210445205479452,11.3
1734,10.5,0.833333333333333,0.791666666666667,0.210502283105023,10.5628525963852
1709,9.75,0.854166666666667,0.8125,0.210559360730594,10.0198780632934
1669,9,0.875,0.833333333333333,0.210616438356164,9.64613123321519
1630,8.75,0.895833333333333,0.854166666666667,0.210673515981735,9.91083354117199
1606,8.5,0.916666666666667,0.875,0.210730593607306,10.3257719317019
1556,8,0.9375,0.895833333333333,0.210787671232877,10.6920862752268
1525,7.5,0.958333333333333,0.916666666666667,0.210844748858447,11.2322933581733
1472,7.35,0.979166666666667,0.9375,0.210901826484018,12.156750055592
1600,7.2,0,0.958333333333333,0.210958904109589,13.1759851270793
1597,7.3,0.0208333333333333,0.979166666666667,0.21101598173516,14.380191010054
1544,7.4,0.0416666666666667,0,0.211073059360731,15.59
1462,7.4,0.0625,0.0208333333333333,0.211130136986301,15.9587207086105
1385,7.4,0.0833333333333333,0.0416666666666667,0.211187214611872,16.31327168717
1324,7.2,0.104166666666667,0.0625,0.211244292237443,16.5866948473976
1289,7,0.125,0.0833333333333333,0.211301369863014,16.8288582233138
1259,7.4,0.145833333333333,0.104166666666667,0.211358447488584,17.1614775672518
1237,7.8,0.166666666666667,0.125,0.211415525114155,17.4206995444957
1223,8.7,0.1875,0.145833333333333,0.211472602739726,17.7074310502835
1235,9.6,0.208333333333333,0.166666666666667,0.211529680365297,17.92
1249,9.55,0.229166666666667,0.1875,0.211586757990868,17.7821351488211
1278,9.5,0.25,0.208333333333333,0.211643835616438,17.3986696102342
1305,9.95,0.270833333333333,0.229166666666667,0.211700913242009,16.9543104463848
1400,10.4,0.291666666666667,0.25,0.21175799086758,16.4216407864999
1472,10.75,0.3125,0.270833333333333,0.211815068493151,15.8375
1505,11.1,0.333333333333333,0.291666666666667,0.211872146118721,15.3074371875157
1518,11.05,0.354166666666667,0.3125,0.211929223744292,14.6573304979956
1508,11,0.375,0.333333333333333,0.211986301369863,14.1297117626564
1483,11.85,0.395833333333333,0.354166666666667,0.212043378995434,14.3947223480486
1448,12.7,0.416666666666667,0.375,0.212100456621005,14.89
1405,13.55,0.4375,0.395833333333333,0.212157534246575,15.5794580630673
1366,14.4,0.458333333333333,0.416666666666667,0.212214611872146,16.36
1301,14.65,0.479166666666667,0.4375,0.212271689497717,16.7116510639674
1234,14.9,0.5,0.458333333333333,0.212328767123288,16.94
